Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Nebraska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(402) 437-5551,68516
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Nebraska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(402) 437-5551,68516
Invest Nebraska Evergreen Loan Fund,Invest Nebraska,0,300000,Businesses retaining or creating jobs,"Working capital, equipment",Nebraska,www.investnebraska.com,https://www.investnebraska.com/traditionallifestyle-companies,Loan,Not specified,(402) 742-7860,68516
Invest Nebraska Microloan Fund,Invest Nebraska,0,50000,Businesses with 10 or fewer employees that create or retain jobs,"Working capital, equipment",Nebraska,www.investnebraska.com,https://www.investnebraska.com/traditionallifestyle-companies,Loan,Not specified,(402) 742-7860,68516
CDBG Business Loans,Nebraska Department of Economic Development,0,400000,"Businesses impacted by COVID-19 that are manufacturers, scientific testing firms, research and development firms, targeted export services, or provide essential goods and services and located in any county (not including cities of Omaha, Lincoln, Bellevue and Grand Island)","Direct financial assistance, working capital, machinery and equipment",Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/nded-covid19/#CDBG,COVID-19 Specific Loan,Not specified,(855) 264-6858,68516
Developing Youth Talent Initiative,Nebraska Department of Economic Development,0,400000,For-profit Nebraska businesses or consortiums of businesses in any industry that partner with local public schools,Materials for projects that provide students with hands-on STEM career exploration and exposure to STEM skills,Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-small-business-innovation-research-small-business-tech-transfer-sbirsttr-grant-program/,Grant,Not specified,(800) 426-6505,68516
Nebraska Academic Research and Development Grant (Phase I),Nebraska Department of Economic Development,0,100000,Nebraska businesses engaged in R&D activities in conjunction with a Nebraska college or university,"Commercialization of new products, modification of existing products that lead to substantially improved marketability, improvement of existing processes that may provide a new source of revenue to Nebraska businesses",Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-academic-research-and-development-grant/,Grant,Not specified,(800) 426-6505,68516
Nebraska Academic Research and Development Grant (Phase II),Nebraska Department of Economic Development,0,400000,Nebraska businesses that have successfully completed a Phase I award as determined by Nebraska Department of Economic Development,"Commercialization of new products, modification of existing products that lead to substantially improved marketability, improvement of existing processes that may provide a new source of revenue to Nebraska businesses",Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-academic-research-and-development-grant/,Grant,Not specified,(800) 426-6505,68516
Nebraska Innovation Fund Prototype Grants,Nebraska Department of Economic Development,0,150000,"Nebraska-based corporation, limited liability company, partnership, registered limited partnership, sole proprietorship, business trust, or other entity with fewer than 500 employees engaged in non-retail primary industries adding value to products or processes in Nebraska",Product development,Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-seed-investment-program/,Grant,Not specified,(800) 426-6505,68516
Nebraska Seed Investment Program,Nebraska Department of Economic Development,0,500000,"Businesses engaged in non-retail primary industries that are adding value to products or processes in Nebraska, with 500 or fewer employees and operating in Nebraska",Commercialization of a prototype or process,Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-seed-investment-program/,Grant,Not specified,(800) 426-6505,68516
Nebraska Small Business Innovation Research / Small Business Tech Transfer (SBIR/STTR) Grant Program,Nebraska Department of Economic Development,0,100000,For-profit small businesses that conduct at least 51% of the activities under the federal application in the State of Nebraska,"Research, commercialization",Nebraska,opportunity.nebraska.gov,https://opportunity.nebraska.gov/program/nebraska-small-business-innovation-research-small-business-tech-transfer-sbirsttr-grant-program/,Grant,Not specified,(800) 426-6505,68516
Battle Born Venture Program (Nevada Venture Capital Program),Governor's Office of Economic Development,0,500000,"Aerospace and defense, agriculture, energy, health care, IT, logistics and operations, manufacturing, mining, tourism and gaming, and water industries",Contact provider,Nevada,goed.nv.gov,https://goed.nv.gov/programs-incentives/technology-commercialization/battle-born-venture/,Equity,Not specified,(775) 687-9900,89108
Battle Born Venture Program (Nevada Venture Capital Program),Governor's Office of Economic Development,0,500000,"Aerospace and defense, agriculture, energy, health care, IT, logistics and operations, manufacturing, mining, tourism and gaming, and water industries",Contact provider,Nevada,goed.nv.gov,https://goed.nv.gov/programs-incentives/technology-commercialization/battle-born-venture/,Equity,Not specified,(702) 486-2700,89108
Nevada Main Street,Governor's Office of Economic Development,0,400000,Organizations focused on improving and revitalizing rural Main Streets,Contact provider,Nevada,goed.nv.gov,https://goed.nv.gov/programs-incentives/rural-community-economic-development/nevada-main-street/,Grant,Not specified,(775) 687-9900,89108
Nevada Main Street,Governor's Office of Economic Development,0,400000,Organizations focused on improving and revitalizing rural Main Streets,Contact provider,Nevada,goed.nv.gov,https://goed.nv.gov/programs-incentives/rural-community-economic-development/nevada-main-street/,Grant,Not specified,(702) 486-2700,89108
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(775) 857-8500,89108
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(775) 857-8500,89108
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(775) 857-8500,89108
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(775) 857-8500,89108
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(775) 857-8500,89108
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Nevada,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(775) 857-8500,89108
